2024-11-19 19:10:56.021 GMT,,,50,,673ce2bf.32,1,,2024-11-19 19:10:55 GMT,,0,LOG,00000,"starting PostgreSQL 17.1 (Debian 17.1-1.pgdg120+1) on x86_64-pc-linux-gnu, compiled by gcc (Debian 12.2.0-14) 12.2.0, 64-bit",,,,,,,,"PostmasterMain, postmaster.c:1080","","postmaster",,0
2024-11-19 19:10:56.117 GMT,,,50,,673ce2bf.32,2,,2024-11-19 19:10:55 GMT,,0,LOG,00000,"listening on Unix socket ""/var/run/postgresql/.s.PGSQL.5432""",,,,,,,,"ListenServerPort, pqcomm.c:657","","postmaster",,0
2024-11-19 19:10:56.454 GMT,,,54,,673ce2c0.36,1,,2024-11-19 19:10:56 GMT,,0,LOG,00000,"database system was shut down at 2024-11-19 19:09:47 GMT",,,,,,,,"StartupXLOG, xlog.c:5445","","startup",,0
2024-11-19 19:10:56.635 GMT,,,50,,673ce2bf.32,3,,2024-11-19 19:10:55 GMT,,0,LOG,00000,"database system is ready to accept connections",,,,,,,,"process_pm_child_exit, postmaster.c:2483","","postmaster",,0
2024-11-19 19:10:59.420 GMT,"postgres","postgres",60,"[local]",673ce2c3.3c,1,"idle",2024-11-19 19:10:59 GMT,0/2,0,LOG,00000,"statement: SELECT 1 FROM pg_database WHERE datname = 'productos_db' ;",,,,,,,,"exec_simple_query, postgres.c:1075","psql","client backend",,0
2024-11-19 19:10:59.466 GMT,"postgres","postgres",60,"[local]",673ce2c3.3c,2,"SELECT",2024-11-19 19:10:59 GMT,0/2,0,LOG,00000,"AUDIT: SESSION,1,1,READ,SELECT,,,SELECT 1 FROM pg_database WHERE datname = 'productos_db',<not logged>",,,,,,,,"log_audit_event, pgaudit.c:875","psql","client backend",,0
2024-11-19 19:10:59.469 GMT,"postgres","postgres",60,"[local]",673ce2c3.3c,3,"SELECT",2024-11-19 19:10:59 GMT,0/0,0,LOG,00000,"duration: 48.720 ms",,,,,,,,"exec_simple_query, postgres.c:1368","psql","client backend",,0
2024-11-19 19:10:59.567 GMT,"postgres","postgres",62,"[local]",673ce2c3.3e,1,"idle",2024-11-19 19:10:59 GMT,1/2,0,LOG,00000,"statement: CREATE DATABASE ""productos_db"" ;",,,,,,,,"exec_simple_query, postgres.c:1075","psql","client backend",,0
2024-11-19 19:11:04.032 GMT,"postgres","postgres",62,"[local]",673ce2c3.3e,2,"CREATE DATABASE",2024-11-19 19:10:59 GMT,1/2,739,LOG,00000,"AUDIT: SESSION,1,1,DDL,CREATE DATABASE,,,""CREATE DATABASE """"productos_db"""""",<not logged>",,,,,,,,"log_audit_event, pgaudit.c:875","psql","client backend",,0
2024-11-19 19:11:04.408 GMT,"postgres","postgres",62,"[local]",673ce2c3.3e,3,"CREATE DATABASE",2024-11-19 19:10:59 GMT,1/0,0,LOG,00000,"duration: 4841.070 ms",,,,,,,,"exec_simple_query, postgres.c:1368","psql","client backend",,0
2024-11-19 19:11:04.420 GMT,,,50,,673ce2bf.32,4,,2024-11-19 19:10:55 GMT,,0,LOG,00000,"received fast shutdown request",,,,,,,,"process_pm_shutdown_request, postmaster.c:2273","","postmaster",,0
2024-11-19 19:11:04.683 GMT,,,50,,673ce2bf.32,5,,2024-11-19 19:10:55 GMT,,0,LOG,00000,"aborting any active transactions",,,,,,,,"process_pm_shutdown_request, postmaster.c:2291","","postmaster",,0
2024-11-19 19:11:04.686 GMT,,,50,,673ce2bf.32,6,,2024-11-19 19:10:55 GMT,,0,LOG,00000,"background worker ""logical replication launcher"" (PID 57) exited with exit code 1",,,,,,,,"LogChildExit, postmaster.c:3076","","postmaster",,0
2024-11-19 19:11:04.687 GMT,,,52,,673ce2c0.34,1,,2024-11-19 19:10:56 GMT,,0,LOG,00000,"shutting down",,,,,,,,"ShutdownXLOG, xlog.c:6611","","checkpointer",,0
2024-11-19 19:11:05.074 GMT,,,52,,673ce2c0.34,2,,2024-11-19 19:10:56 GMT,,0,LOG,00000,"checkpoint starting: shutdown immediate",,,,,,,,"LogCheckpointStart, xlog.c:6661","","checkpointer",,0
2024-11-19 19:11:22.804 GMT,,,52,,673ce2c0.34,3,,2024-11-19 19:10:56 GMT,,0,LOG,00000,"checkpoint complete: wrote 921 buffers (5.6%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.839 s, sync=15.483 s, total=18.118 s; sync files=301, longest=0.286 s, average=0.052 s; distance=4238 kB, estimate=4238 kB; lsn=0/1908980, redo lsn=0/1908980",,,,,,,,"LogCheckpointEnd, xlog.c:6750","","checkpointer",,0
2024-11-19 19:11:22.950 GMT,,,50,,673ce2bf.32,7,,2024-11-19 19:10:55 GMT,,0,LOG,00000,"database system is shut down",,,,,,,,"UnlinkLockFiles, miscinit.c:1171","","postmaster",,0
